neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_type
Brooklyn,East Flatbush,Entire home/apt,49,2,77,2.17,264,Ocasional
Manhattan,Midtown,Entire home/apt,700,5,23,0.68,179,Ocasional
Brooklyn,East Flatbush,Entire home/apt,650,1,3,0.08,0,Ocasional
Manhattan,Washington Heights,Entire home/apt,150,2,42,1.61,83,Ocasional
Brooklyn,Sunset Park,Private room,50,20,46,1.34,20,Profesional
Brooklyn,Cypress Hills,Private room,55,2,7,0.2,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,90,2,3,0.1,0,Ocasional
Bronx,Van Nest,Entire home/apt,425,5,0,0.0,363,Ocasional
Manhattan,Upper East Side,Entire home/apt,200,30,0,0.0,365,Profesional
Manhattan,Midtown,Entire home/apt,349,2,6,0.17,0,Ocasional
Manhattan,Financial District,Entire home/apt,200,30,0,0.0,87,Ocasional
Brooklyn,Bushwick,Entire home/apt,100,2,152,4.29,251,Ocasional
Manhattan,East Harlem,Entire home/apt,115,2,8,0.23,0,Ocasional
Manhattan,Chelsea,Entire home/apt,150,3,119,3.45,58,Profesional
Manhattan,Greenwich Village,Private room,100,1,0,0.0,0,Ocasional
Brooklyn,Prospect Heights,Private room,55,1,102,2.98,281,Profesional
Queens,Long Island City,Private room,49,2,105,2.94,21,Profesional
Manhattan,Harlem,Private room,95,2,44,1.27,90,Ocasional
Queens,Flushing,Private room,75,2,57,1.64,335,Ocasional
Brooklyn,Bedford-Stuyvesant,Shared room,45,2,10,0.29,311,Profesional
Manhattan,West Village,Entire home/apt,200,2,0,0.0,0,Ocasional
Manhattan,East Village,Entire home/apt,199,5,22,0.62,68,Ocasional
Manhattan,Upper East Side,Entire home/apt,195,1,109,3.21,190,Ocasional
Manhattan,Financial District,Entire home/apt,349,3,38,1.08,72,Ocasional
Manhattan,Financial District,Entire home/apt,270,2,113,3.21,11,Ocasional
Manhattan,Upper East Side,Entire home/apt,230,30,0,0.0,284,Profesional
Manhattan,Financial District,Entire home/apt,165,30,0,0.0,365,Profesional
Brooklyn,Williamsburg,Entire home/apt,159,2,1,0.03,0,Ocasional
Manhattan,Murray Hill,Entire home/apt,196,30,1,0.03,280,Profesional
Manhattan,Murray Hill,Shared room,103,1,3,0.08,0,Ocasional
Brooklyn,Williamsburg,Private room,92,4,18,0.52,341,Ocasional
Manhattan,Upper East Side,Entire home/apt,150,3,37,1.04,0,Ocasional
Manhattan,Nolita,Entire home/apt,294,5,150,4.19,105,Ocasional
Manhattan,Midtown,Entire home/apt,110,4,36,1.05,40,Ocasional
Bronx,Highbridge,Entire home/apt,76,7,40,1.15,34,Ocasional
Brooklyn,Williamsburg,Entire home/apt,180,2,115,3.34,82,Profesional
Queens,St. Albans,Entire home/apt,100,2,46,1.34,361,Profesional
Brooklyn,Crown Heights,Entire home/apt,80,7,0,0.0,0,Ocasional
Brooklyn,Windsor Terrace,Entire home/apt,120,5,1,0.09,0,Profesional
Manhattan,Hell's Kitchen,Private room,90,1,15,0.42,0,Profesional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,130,1,83,2.34,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,84,2,84,2.39,211,Ocasional
Brooklyn,Flatbush,Private room,50,3,98,2.77,140,Profesional
Queens,East Elmhurst,Entire home/apt,76,2,75,4.39,35,Ocasional
Manhattan,East Village,Entire home/apt,316,3,74,2.19,348,Ocasional
Queens,Jamaica,Entire home/apt,115,2,32,0.91,265,Ocasional
Brooklyn,Williamsburg,Entire home/apt,325,1,2,0.06,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,160,2,130,3.72,69,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,47,2,39,1.12,51,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,200,3,9,0.26,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,200,4,9,0.26,9,Ocasional
Brooklyn,Williamsburg,Private room,75,7,12,0.35,359,Profesional
Brooklyn,Flatbush,Private room,39,3,13,0.38,186,Ocasional
Manhattan,Financial District,Entire home/apt,300,6,3,0.1,358,Ocasional
Manhattan,Upper West Side,Entire home/apt,489,7,8,0.22,328,Ocasional
Queens,Rosedale,Entire home/apt,150,2,3,0.08,364,Profesional
Queens,Queens Village,Entire home/apt,65,1,152,4.67,335,Ocasional
Brooklyn,South Slope,Entire home/apt,120,4,139,3.98,136,Profesional
Manhattan,Hell's Kitchen,Private room,80,1,117,3.34,0,Ocasional
Brooklyn,Williamsburg,Private room,53,2,40,1.15,1,Ocasional
Manhattan,Upper West Side,Entire home/apt,200,3,16,0.48,0,Ocasional
Brooklyn,Crown Heights,Private room,50,3,100,2.81,0,Profesional
Manhattan,Midtown,Entire home/apt,150,2,13,0.36,69,Ocasional
Manhattan,Hell's Kitchen,Private room,120,2,154,4.47,266,Ocasional
Manhattan,Kips Bay,Private room,175,2,41,1.18,242,Ocasional
Manhattan,Harlem,Entire home/apt,49,30,11,0.32,36,Ocasional
Queens,St. Albans,Private room,59,2,4,0.29,180,Profesional
Queens,Ridgewood,Private room,79,3,13,0.39,64,Ocasional
Manhattan,Kips Bay,Entire home/apt,195,2,12,0.41,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,249,3,99,2.87,239,Profesional
Brooklyn,Prospect-Lefferts Gardens,Private room,53,1,42,1.19,337,Profesional
Manhattan,Financial District,Private room,189,1,22,0.67,0,Ocasional
Brooklyn,East New York,Private room,60,2,38,1.07,357,Profesional
Queens,Ridgewood,Entire home/apt,135,2,73,2.11,345,Ocasional
Bronx,Longwood,Private room,75,2,110,3.18,350,Profesional
Brooklyn,Prospect Heights,Private room,60,5,0,0.0,18,Ocasional
Queens,Astoria,Entire home/apt,120,2,13,0.37,115,Ocasional
Manhattan,East Village,Private room,100,5,4,0.17,0,Ocasional
Brooklyn,Williamsburg,Private room,95,3,61,1.73,56,Profesional
Manhattan,Chelsea,Entire home/apt,185,1,2,0.06,0,Ocasional
Manhattan,Upper East Side,Entire home/apt,99,5,15,0.45,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,180,4,94,2.72,326,Ocasional
Manhattan,Midtown,Entire home/apt,350,5,24,0.7,137,Ocasional
Manhattan,Greenwich Village,Private room,69,1,4,0.12,0,Ocasional
Brooklyn,East Flatbush,Private room,50,2,41,1.15,250,Ocasional
Queens,Maspeth,Entire home/apt,144,2,113,3.18,293,Profesional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,85,4,9,0.25,0,Ocasional
Manhattan,Washington Heights,Entire home/apt,100,5,13,1.04,1,Ocasional
Manhattan,West Village,Entire home/apt,240,5,52,1.54,271,Ocasional
Brooklyn,Crown Heights,Entire home/apt,125,1,3,0.09,0,Profesional
Manhattan,Upper East Side,Entire home/apt,165,2,22,0.65,0,Ocasional
Queens,Rego Park,Entire home/apt,145,3,88,2.56,321,Ocasional
Queens,Rosedale,Private room,88,1,0,0.0,364,Profesional
Brooklyn,Williamsburg,Private room,65,1,1,0.03,0,Ocasional
Brooklyn,Greenpoint,Private room,60,3,52,1.49,0,Profesional
Queens,Astoria,Entire home/apt,122,2,128,3.65,255,Ocasional
Manhattan,Washington Heights,Private room,65,7,0,0.0,0,Ocasional
Brooklyn,Kensington,Private room,42,1,95,2.69,148,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,55,6,7,0.54,179,Ocasional
Brooklyn,Crown Heights,Entire home/apt,115,2,7,0.21,0,Ocasional
Brooklyn,Bushwick,Entire home/apt,95,1,9,0.25,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,113,2,167,4.71,167,Profesional
Manhattan,Upper East Side,Entire home/apt,185,4,10,0.28,329,Ocasional
Queens,Glendale,Private room,34,30,14,0.41,365,Profesional
Manhattan,Upper East Side,Private room,80,3,90,2.53,323,Profesional
Brooklyn,Crown Heights,Shared room,50,1,55,1.54,60,Profesional
Manhattan,Washington Heights,Private room,55,3,89,2.53,66,Ocasional
Manhattan,Murray Hill,Entire home/apt,110,5,2,0.06,0,Ocasional
Manhattan,Greenwich Village,Private room,115,5,65,1.84,157,Ocasional
Manhattan,Upper East Side,Entire home/apt,239,3,17,0.49,212,Profesional
Queens,Astoria,Private room,63,2,8,0.31,0,Ocasional
Manhattan,Kips Bay,Entire home/apt,295,2,42,1.29,81,Ocasional
Manhattan,Flatiron District,Entire home/apt,425,7,0,0.0,363,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,125,4,55,1.59,0,Ocasional
Bronx,Throgs Neck,Entire home/apt,175,2,28,0.92,36,Ocasional
Manhattan,Nolita,Shared room,90,1,10,0.28,14,Profesional
Brooklyn,Williamsburg,Private room,75,3,3,0.09,0,Ocasional
Queens,Astoria,Entire home/apt,99,2,154,4.38,283,Ocasional
Manhattan,Nolita,Private room,118,3,10,0.29,0,Ocasional
Manhattan,East Harlem,Private room,75,2,50,1.46,0,Ocasional
Manhattan,Lower East Side,Entire home/apt,105,3,24,0.68,0,Ocasional
Brooklyn,Greenpoint,Private room,56,7,69,1.96,163,Profesional
Brooklyn,DUMBO,Private room,125,12,24,0.69,0,Ocasional
Manhattan,SoHo,Private room,80,2,8,0.23,275,Profesional
Bronx,Port Morris,Entire home/apt,110,3,7,0.2,42,Ocasional
Brooklyn,Bushwick,Private room,75,1,24,0.69,250,Profesional
Queens,Sunnyside,Private room,60,2,15,0.42,27,Ocasional
Queens,Astoria,Private room,55,1,20,0.63,252,Profesional
Manhattan,Stuyvesant Town,Private room,60,2,2,0.06,0,Ocasional
Brooklyn,Williamsburg,Private room,200,4,9,0.25,89,Ocasional
Manhattan,Harlem,Private room,49,1,13,0.37,0,Ocasional
Queens,Flushing,Entire home/apt,200,2,93,2.68,346,Ocasional
Brooklyn,East New York,Private room,40,2,84,2.45,273,Profesional
Manhattan,Murray Hill,Entire home/apt,179,30,0,0.0,365,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,12,0.35,41,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,45,2,24,0.68,5,Ocasional
Manhattan,Upper West Side,Entire home/apt,245,30,12,0.37,245,Profesional
Brooklyn,Prospect Heights,Entire home/apt,120,3,36,1.06,89,Ocasional
Brooklyn,Williamsburg,Private room,51,6,5,0.22,358,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,83,1,110,3.46,307,Profesional
Brooklyn,Boerum Hill,Private room,55,2,1,0.03,0,Ocasional
Manhattan,Gramercy,Private room,85,2,47,1.32,18,Ocasional
Manhattan,Kips Bay,Entire home/apt,109,30,5,0.15,134,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,85,2,8,0.23,0,Profesional
Manhattan,Gramercy,Entire home/apt,179,30,2,0.06,345,Profesional
Manhattan,East Village,Private room,95,30,7,0.2,238,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,95,2,47,1.34,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,170,3,87,2.48,32,Ocasional
Queens,Rockaway Beach,Entire home/apt,110,1,75,2.14,56,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,111,2,2,0.08,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Private room,125,1,1,0.03,87,Ocasional
Brooklyn,Bushwick,Private room,34,3,0,0.0,0,Ocasional
Manhattan,Harlem,Private room,54,3,71,2.01,15,Ocasional
Brooklyn,Williamsburg,Private room,79,1,39,1.11,152,Profesional
Brooklyn,Williamsburg,Private room,80,2,166,4.68,8,Ocasional
Brooklyn,Greenpoint,Private room,89,4,31,4.72,0,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,175,3,1,0.03,0,Ocasional
Brooklyn,Bushwick,Private room,85,1,188,5.3,270,Profesional
Bronx,Claremont Village,Private room,38,15,8,0.23,24,Profesional
Brooklyn,Bushwick,Private room,38,1,97,2.73,0,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,29,1,63,1.78,18,Profesional
Brooklyn,Bushwick,Private room,45,2,5,0.14,0,Ocasional
Manhattan,West Village,Entire home/apt,229,2,3,0.09,67,Ocasional
Brooklyn,Williamsburg,Entire home/apt,147,2,47,1.34,0,Ocasional
Queens,Flushing,Private room,35,1,61,1.72,342,Profesional
Manhattan,Upper East Side,Entire home/apt,300,3,0,0.0,179,Ocasional
Brooklyn,Park Slope,Entire home/apt,154,2,143,4.11,269,Ocasional
Manhattan,West Village,Entire home/apt,250,120,2,0.09,273,Ocasional
Brooklyn,Williamsburg,Entire home/apt,150,4,10,0.29,6,Ocasional
Brooklyn,Crown Heights,Private room,65,1,6,0.17,0,Ocasional
Manhattan,Little Italy,Entire home/apt,250,1,180,5.07,229,Ocasional
Brooklyn,Windsor Terrace,Entire home/apt,99,4,75,2.16,216,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,45,8,4,0.11,0,Ocasional
Manhattan,Chinatown,Private room,105,2,11,0.53,0,Ocasional
Brooklyn,Bushwick,Private room,45,3,101,2.89,60,Profesional
Manhattan,Flatiron District,Entire home/apt,180,3,16,0.47,0,Ocasional
Queens,Sunnyside,Entire home/apt,130,2,111,3.19,252,Ocasional
Manhattan,Upper East Side,Entire home/apt,210,3,0,0.0,0,Ocasional
Queens,Maspeth,Entire home/apt,77,4,93,2.69,198,Ocasional
Brooklyn,Flatbush,Private room,450,1,1,0.03,364,Profesional
Manhattan,East Harlem,Private room,85,2,123,4.09,64,Ocasional
Brooklyn,Bushwick,Private room,67,3,97,2.75,141,Ocasional
Queens,Forest Hills,Private room,58,2,78,2.22,0,Ocasional
Brooklyn,Bushwick,Private room,149,3,19,0.56,363,Ocasional
Manhattan,Harlem,Entire home/apt,150,2,29,0.84,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,80,1,15,0.42,189,Ocasional
Queens,Flushing,Private room,80,1,15,0.43,288,Ocasional
Manhattan,Upper East Side,Entire home/apt,130,2,11,0.32,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,150,2,2,0.06,0,Ocasional
Manhattan,Financial District,Entire home/apt,180,1,36,1.05,0,Ocasional
Manhattan,Lower East Side,Entire home/apt,125,4,37,1.05,0,Ocasional
Manhattan,East Village,Private room,150,2,9,0.26,0,Profesional
Manhattan,Nolita,Private room,89,12,3,0.1,332,Profesional
Brooklyn,Williamsburg,Shared room,42,1,4,0.12,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,40,3,5,0.14,0,Ocasional
Brooklyn,Bushwick,Private room,70,3,72,2.04,155,Ocasional
Brooklyn,Williamsburg,Entire home/apt,200,90,4,0.4,364,Ocasional
Manhattan,Hell's Kitchen,Private room,64,2,1,0.03,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,75,14,10,0.45,341,Ocasional
Brooklyn,Williamsburg,Entire home/apt,180,4,64,2.0,57,Profesional
Brooklyn,Greenpoint,Private room,75,3,0,0.0,0,Profesional
Manhattan,Chelsea,Private room,139,5,120,3.91,52,Ocasional
Manhattan,Hell's Kitchen,Private room,149,2,121,3.5,70,Ocasional
Brooklyn,Williamsburg,Private room,85,3,99,3.09,19,Ocasional
Brooklyn,Flatlands,Private room,92,1,2,0.06,364,Ocasional
Manhattan,East Village,Entire home/apt,129,7,10,0.29,0,Ocasional
Manhattan,East Village,Entire home/apt,150,2,1,0.03,0,Ocasional
Manhattan,Upper East Side,Private room,125,1,24,0.7,188,Ocasional
Manhattan,Nolita,Private room,100,4,2,0.32,0,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,198,3,15,0.43,4,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,239,30,1,0.05,365,Profesional
Manhattan,Stuyvesant Town,Private room,82,60,0,0.0,365,Ocasional
Manhattan,East Village,Entire home/apt,215,1,76,2.16,245,Ocasional
Brooklyn,East Flatbush,Entire home/apt,100,5,83,2.5,31,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,180,2,2,0.06,2,Ocasional
Manhattan,Upper West Side,Entire home/apt,150,30,8,0.24,328,Ocasional
Queens,Woodside,Entire home/apt,199,3,169,4.8,302,Ocasional
Brooklyn,Bushwick,Private room,99,2,26,0.76,155,Ocasional
Queens,Jackson Heights,Private room,40,1,81,2.32,127,Profesional
Manhattan,West Village,Entire home/apt,199,30,32,0.91,343,Ocasional
Manhattan,Harlem,Private room,69,5,80,2.26,0,Profesional
Manhattan,Chinatown,Entire home/apt,170,4,0,0.0,0,Ocasional
Brooklyn,Greenpoint,Entire home/apt,110,30,4,0.12,301,Profesional
Staten Island,Howland Hook,Entire home/apt,100,4,20,0.57,363,Ocasional
Brooklyn,Greenpoint,Private room,50,25,0,0.0,5,Ocasional
Manhattan,Upper West Side,Entire home/apt,310,30,1,0.04,294,Profesional
Brooklyn,Bushwick,Private room,110,1,208,5.89,293,Profesional
Queens,Forest Hills,Entire home/apt,165,2,37,1.08,86,Ocasional
Brooklyn,Crown Heights,Private room,85,3,55,1.56,49,Profesional
Brooklyn,Bensonhurst,Private room,65,2,14,0.44,82,Profesional
Manhattan,Battery Park City,Entire home/apt,149,30,2,0.06,281,Profesional
Manhattan,Midtown,Entire home/apt,252,2,16,0.49,327,Profesional
Manhattan,Two Bridges,Private room,130,120,2,0.06,229,Profesional
Brooklyn,Crown Heights,Private room,80,6,0,0.0,358,Ocasional
Queens,Flushing,Private room,75,2,85,2.42,159,Ocasional
Brooklyn,Williamsburg,Private room,75,5,4,0.14,0,Profesional
Brooklyn,Crown Heights,Entire home/apt,125,2,70,2.01,71,Ocasional
Manhattan,Midtown,Entire home/apt,650,2,6,0.42,363,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,1,129,3.78,255,Profesional
Brooklyn,Williamsburg,Private room,90,2,28,0.82,0,Ocasional
Manhattan,Chelsea,Entire home/apt,249,7,70,2.03,266,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,140,6,9,0.26,0,Ocasional
Manhattan,Upper East Side,Entire home/apt,795,4,26,0.8,340,Ocasional
Queens,Corona,Shared room,27,1,16,0.71,364,Profesional
Queens,Long Island City,Entire home/apt,105,2,51,1.48,208,Ocasional
Brooklyn,Fort Hamilton,Private room,30,3,23,0.66,211,Profesional
Brooklyn,Bushwick,Private room,55,4,0,0.0,0,Profesional
Brooklyn,Fort Hamilton,Private room,65,3,19,0.55,337,Profesional
Brooklyn,Fort Hamilton,Private room,65,3,42,1.22,290,Profesional
Queens,Briarwood,Private room,55,2,1,0.03,56,Ocasional
Queens,East Elmhurst,Entire home/apt,100,3,87,2.52,322,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,55,1,0,0.0,364,Profesional
Brooklyn,Sheepshead Bay,Entire home/apt,73,15,2,0.06,0,Ocasional
Manhattan,East Harlem,Entire home/apt,289,2,74,2.09,243,Ocasional
Brooklyn,Canarsie,Private room,75,1,10,0.29,162,Ocasional
Brooklyn,Prospect Heights,Private room,100,3,1,0.05,179,Ocasional
Brooklyn,Bushwick,Entire home/apt,120,10,3,0.09,0,Ocasional
Queens,Woodhaven,Private room,45,5,23,0.66,216,Profesional
Manhattan,Harlem,Private room,399,3,0,0.0,362,Profesional
Brooklyn,Greenpoint,Entire home/apt,155,4,31,0.91,24,Ocasional
Queens,Jamaica,Entire home/apt,60,3,60,1.71,0,Profesional
Brooklyn,Sheepshead Bay,Entire home/apt,100,20,0,0.0,364,Ocasional
Brooklyn,Bedford-Stuyvesant,Shared room,30,25,15,0.43,78,Profesional
Brooklyn,Prospect-Lefferts Gardens,Private room,50,2,0,0.0,0,Ocasional
Manhattan,Upper West Side,Entire home/apt,330,30,1,0.05,250,Profesional
Queens,Woodside,Entire home/apt,300,2,73,2.14,228,Ocasional
Queens,St. Albans,Private room,65,2,52,1.93,78,Ocasional
Brooklyn,Williamsburg,Entire home/apt,200,10,4,0.12,0,Ocasional
Brooklyn,Bushwick,Entire home/apt,85,3,7,0.2,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,139,30,4,0.11,330,Ocasional
Brooklyn,Crown Heights,Entire home/apt,135,3,39,1.12,311,Ocasional
Brooklyn,Flatbush,Private room,150,5,0,0.0,358,Ocasional
Manhattan,East Harlem,Entire home/apt,140,1,34,0.98,170,Ocasional
Staten Island,Prince's Bay,Entire home/apt,185,2,15,0.44,0,Ocasional
Queens,Long Island City,Entire home/apt,74,5,7,0.2,90,Ocasional
Manhattan,East Village,Entire home/apt,162,5,22,0.64,156,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,5,53,1.53,269,Ocasional
Brooklyn,Flatbush,Shared room,400,1,2,0.06,364,Profesional
Manhattan,Washington Heights,Entire home/apt,160,3,12,0.36,5,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,98,60,28,0.82,343,Ocasional
Manhattan,Hell's Kitchen,Private room,95,1,23,0.66,0,Profesional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,59,1,9,0.27,288,Ocasional
Manhattan,Lower East Side,Entire home/apt,200,2,22,0.64,4,Ocasional
Brooklyn,Boerum Hill,Entire home/apt,200,2,2,0.06,0,Ocasional
Brooklyn,Williamsburg,Entire home/apt,100,7,26,0.75,1,Ocasional
Manhattan,Chinatown,Entire home/apt,499,30,70,2.04,0,Ocasional
Manhattan,Midtown,Entire home/apt,189,2,164,4.72,206,Ocasional
Queens,Flushing,Private room,185,2,25,0.71,0,Profesional
Manhattan,East Harlem,Private room,79,3,28,0.8,0,Ocasional
Manhattan,Harlem,Private room,149,30,84,2.43,337,Profesional
Manhattan,Upper West Side,Entire home/apt,250,30,0,0.0,358,Ocasional
Manhattan,East Village,Private room,105,5,4,0.12,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,45,3,5,0.15,220,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,38,1.1,197,Profesional
Brooklyn,Flatbush,Private room,95,6,2,0.06,249,Ocasional
Queens,Ditmars Steinway,Entire home/apt,75,1,0,0.0,0,Ocasional
Manhattan,Washington Heights,Private room,30,14,1,0.03,0,Ocasional
Manhattan,Upper East Side,Private room,175,4,7,0.21,365,Ocasional
Brooklyn,Williamsburg,Entire home/apt,149,2,28,0.83,2,Profesional
Manhattan,Financial District,Entire home/apt,189,30,1,1.0,364,Profesional
Manhattan,Kips Bay,Private room,95,5,1,0.03,0,Profesional
Manhattan,Upper West Side,Shared room,61,1,5,0.15,0,Profesional
Manhattan,Kips Bay,Entire home/apt,190,5,0,0.0,0,Profesional
Manhattan,West Village,Shared room,80,1,37,1.05,0,Ocasional
Brooklyn,Greenpoint,Private room,99,3,3,0.13,0,Ocasional
Manhattan,East Village,Private room,84,2,1,0.03,0,Ocasional
Brooklyn,Bushwick,Entire home/apt,125,1,19,0.55,281,Ocasional
Manhattan,Lower East Side,Private room,43,1,0,0.0,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,107,3,82,2.34,284,Ocasional
Manhattan,Lower East Side,Entire home/apt,190,3,9,0.28,188,Ocasional
Brooklyn,Windsor Terrace,Entire home/apt,125,2,24,0.68,0,Ocasional
Queens,Ridgewood,Private room,45,1,38,1.11,0,Ocasional
Brooklyn,Bushwick,Private room,65,3,0,0.0,0,Ocasional
Manhattan,Harlem,Entire home/apt,174,5,6,0.28,8,Ocasional
Manhattan,West Village,Entire home/apt,170,1,127,3.61,1,Ocasional
Manhattan,Upper West Side,Entire home/apt,200,1,2,0.06,0,Ocasional
Manhattan,West Village,Entire home/apt,250,60,4,0.12,0,Ocasional
Manhattan,Lower East Side,Private room,95,4,9,0.26,0,Ocasional
Manhattan,Hell's Kitchen,Private room,250,2,66,1.94,89,Ocasional
Bronx,Kingsbridge,Private room,80,2,2,0.06,220,Profesional
Manhattan,Upper West Side,Entire home/apt,160,2,2,0.06,0,Profesional
Brooklyn,Greenpoint,Private room,45,2,1,0.03,0,Ocasional
Manhattan,Harlem,Entire home/apt,70,21,1,0.03,0,Ocasional
Brooklyn,Crown Heights,Private room,75,1,22,0.63,319,Profesional
Brooklyn,Williamsburg,Private room,35,3,2,0.06,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,21,0.6,364,Profesional
Brooklyn,Sunset Park,Entire home/apt,95,3,13,0.38,11,Ocasional
Brooklyn,Greenpoint,Entire home/apt,250,4,4,0.12,0,Ocasional
Staten Island,Tottenville,Entire home/apt,275,4,29,0.83,313,Profesional
Brooklyn,Bushwick,Private room,70,2,90,2.57,33,Profesional
Queens,Woodside,Private room,30,7,1,0.03,0,Ocasional
Manhattan,Harlem,Entire home/apt,289,3,5,0.53,365,Ocasional
Manhattan,Upper West Side,Entire home/apt,375,1,34,0.98,7,Ocasional
Manhattan,East Village,Entire home/apt,129,1,198,5.63,21,Ocasional
Manhattan,Midtown,Entire home/apt,219,30,0,0.0,189,Profesional
Brooklyn,Bushwick,Private room,81,1,10,0.29,35,Ocasional
Manhattan,Hell's Kitchen,Private room,75,1,2,0.12,0,Ocasional
Manhattan,Chelsea,Entire home/apt,250,2,3,0.13,358,Ocasional
Manhattan,Upper West Side,Private room,99,5,42,1.21,29,Profesional
Manhattan,Upper West Side,Entire home/apt,225,5,18,0.58,96,Profesional
Manhattan,Hell's Kitchen,Private room,106,1,63,1.84,19,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,55,5,37,1.16,72,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,2,0,0.0,0,Ocasional
Manhattan,Financial District,Entire home/apt,279,3,5,0.15,0,Ocasional
Manhattan,Harlem,Entire home/apt,94,1,11,0.31,0,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,220,3,12,0.39,19,Ocasional
Brooklyn,Crown Heights,Entire home/apt,110,4,75,2.26,48,Ocasional
Staten Island,South Beach,Entire home/apt,275,4,24,0.7,127,Ocasional
Manhattan,Hell's Kitchen,Private room,125,1,37,1.06,310,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,90,3,5,0.15,83,Ocasional
Manhattan,East Village,Entire home/apt,122,5,13,0.42,0,Ocasional
Manhattan,Harlem,Private room,60,3,89,2.59,37,Profesional
Brooklyn,Williamsburg,Entire home/apt,99,1,187,5.43,39,Profesional
Brooklyn,Bushwick,Private room,48,2,91,2.6,21,Profesional
Manhattan,Greenwich Village,Entire home/apt,159,30,7,0.25,280,Profesional
Manhattan,Upper East Side,Entire home/apt,117,30,7,0.22,312,Profesional
Brooklyn,Bushwick,Private room,45,1,4,0.34,0,Ocasional
Manhattan,Kips Bay,Private room,100,2,11,2.02,20,Ocasional
Queens,Astoria,Private room,40,4,23,0.73,30,Ocasional
Manhattan,Chelsea,Entire home/apt,175,7,26,0.8,188,Ocasional
Manhattan,East Harlem,Private room,40,1,19,0.9,18,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,1,113,3.25,59,Profesional
Brooklyn,Downtown Brooklyn,Private room,100,75,6,0.17,0,Profesional
Manhattan,Greenwich Village,Entire home/apt,195,4,17,0.49,188,Ocasional
Brooklyn,Bedford-Stuyvesant,Shared room,65,1,3,0.09,0,Ocasional
Brooklyn,Crown Heights,Entire home/apt,250,4,61,1.89,324,Ocasional
Brooklyn,Park Slope,Entire home/apt,170,3,120,3.51,96,Profesional
Manhattan,Tribeca,Entire home/apt,440,30,1,0.05,87,Ocasional
Brooklyn,Sunset Park,Private room,58,3,106,3.06,3,Ocasional
Brooklyn,Kensington,Private room,45,7,5,0.14,343,Ocasional
Manhattan,East Harlem,Private room,65,1,25,0.72,0,Ocasional
Brooklyn,Gowanus,Entire home/apt,299,2,35,1.02,261,Ocasional
Manhattan,Harlem,Private room,100,1,1,0.11,363,Ocasional
Manhattan,East Harlem,Private room,99,1,14,0.41,50,Ocasional
